test_name,time_raw,dimension,crit1,crit2,avg_memory_mb,max_memory_mb,equation_count,variable_count,memory_per_sec,criteria_sum,resource,config,source_file,test_key,time_seconds,timeout_seconds,timed_out,effective_time_seconds
lorentz,0.0242,4,27.0,15.0,0.3828,0.3828,4,4,15.8187,42.0,CPU,1,data/series_1/CPU/summary_1.csv,lorentz,0.0242,,False,0.0242
matrix,1.8916,16,4951.0,6873.0,35.7487,53.6797,16,16,28.3779,11824.0,CPU,1,data/series_1/CPU/summary_1.csv,matrix,1.8916,,False,1.8916
mickey,0.0002,2,1.0,0.0,0.2188,0.2188,2,2,1093.75,1.0,CPU,1,data/series_1/CPU/summary_1.csv,mickey,0.0002,,False,0.0002
morgenstern,0.1517,9,114.0,162.0,0.2148,0.2148,5,9,1.4162,276.0,CPU,1,data/series_1/CPU/summary_1.csv,morgenstern,0.1517,,False,0.1517
noon5,6.3546,5,304.0,2047.0,47.4358,55.7656,5,5,8.7756,2351.0,CPU,1,data/series_1/CPU/summary_1.csv,noon5,6.3546,,False,6.3546
noon6,168.4159,6,1421.0,16153.0,66.9761,69.082,6,6,0.4102,17574.0,CPU,1,data/series_1/CPU/summary_1.csv,noon6,168.4159,,False,168.4159
puma,0.046,8,84.0,7.0,0.2656,0.2656,8,8,5.7745,91.0,CPU,1,data/series_1/CPU/summary_1.csv,puma,0.046,,False,0.046
quadfor2,0.0015,5,8.0,0.0,0.2031,0.2031,4,5,135.4167,8.0,CPU,1,data/series_1/CPU/summary_1.csv,quadfor2,0.0015,,False,0.0015
quadgrid,0.0243,6,22.0,3.0,0.1992,0.1992,5,6,8.1983,25.0,CPU,1,data/series_1/CPU/summary_1.csv,quadgrid,0.0243,,False,0.0243
rabmo,1.9586,9,318.0,75.0,36.0951,54.1758,9,9,27.6605,393.0,CPU,1,data/series_1/CPU/summary_1.csv,rabmo,1.9586,,False,1.9586
rbpl,114.1962,8,1462.0,7324.0,72.479,79.0273,6,8,0.692,8786.0,CPU,1,data/series_1/CPU/summary_1.csv,rbpl,114.1962,,False,114.1962
rbpl24,125.1279,9,1225.0,1061.0,109.8617,129.2891,9,9,1.0333,2286.0,CPU,1,data/series_1/CPU/summary_1.csv,rbpl24,125.1279,,False,125.1279
redcyc5,0.2303,6,93.0,160.0,0.1914,0.1914,5,6,0.8311,253.0,CPU,1,data/series_1/CPU/summary_1.csv,redcyc5,0.2303,,False,0.2303
redcyc6,9.3862,7,414.0,1962.0,50.1816,56.3242,6,7,6.0007,2376.0,CPU,1,data/series_1/CPU/summary_1.csv,redcyc6,9.3862,,False,9.3862
redeco10,140.0256,10,7418.0,24869.0,72.3378,76.9805,10,10,0.5498,32287.0,CPU,1,data/series_1/CPU/summary_1.csv,redeco10,140.0256,,False,140.0256
redeco7,0.3853,7,203.0,265.0,0.2578,0.2578,7,7,0.6691,468.0,CPU,1,data/series_1/CPU/summary_1.csv,redeco7,0.3853,,False,0.3853
redeco8,2.9068,8,659.0,1275.0,40.7686,54.6016,8,8,18.7841,1934.0,CPU,1,data/series_1/CPU/summary_1.csv,redeco8,2.9068,,False,2.9068
redeco9,19.209,9,2194.0,5766.0,55.4799,59.5938,9,9,3.1024,7960.0,CPU,1,data/series_1/CPU/summary_1.csv,redeco9,19.209,,False,19.209
reif,0.0795,16,302.0,24.0,0.1992,0.1992,14,16,2.5059,326.0,CPU,1,data/series_1/CPU/summary_1.csv,reif,0.0795,,False,0.0795
