test_name,time_raw,dimension,crit1,crit2,avg_memory_mb,max_memory_mb,equation_count,variable_count,memory_per_sec,criteria_sum,resource,config,source_file,test_key,time_seconds,timeout_seconds,timed_out,effective_time_seconds
redeco10,225.6682,10,7418,24792,73.8725,79.25,10,10,0.3512,32210,SWAP,2,data/series_1/SWAP/summary_2.csv,redeco10,225.6682,,False,225.6682
redeco7,0.6768,7,203,249,27.4785,53.6602,7,7,79.2852,452,SWAP,2,data/series_1/SWAP/summary_2.csv,redeco7,0.6768,,False,0.6768
redeco8,5.6003,8,659,1242,46.6374,56.043,8,8,10.0071,1901,SWAP,2,data/series_1/SWAP/summary_2.csv,redeco8,5.6003,,False,5.6003
redeco9,31.6583,9,2194,5727,57.1462,60.5977,9,9,1.9141,7921,SWAP,2,data/series_1/SWAP/summary_2.csv,redeco9,31.6583,,False,31.6583
reif,0.091,16,302,24,26.9727,52.3711,14,16,575.5066,326,SWAP,2,data/series_1/SWAP/summary_2.csv,reif,0.091,,False,0.091
reimer4,5.5527,4,64,311,47.5612,56.9141,4,4,10.2498,375,SWAP,2,data/series_1/SWAP/summary_2.csv,reimer4,5.5527,,False,5.5527
reimer5,113.7238,5,279,1965,74.2024,80.6211,5,5,0.7089,2244,SWAP,2,data/series_1/SWAP/summary_2.csv,reimer5,113.7238,,False,113.7238
rose,0.2504,3,12,110,27.2266,53.4375,3,3,213.4085,122,SWAP,2,data/series_1/SWAP/summary_2.csv,rose,0.2504,,False,0.2504
s9_1,0.0735,8,74,9,27.4668,53.0938,8,8,722.3646,83,SWAP,2,data/series_1/SWAP/summary_2.csv,s9_1,0.0735,,False,0.0735
solotarev,0.01,4,18,2,27.1172,51.8945,4,4,5189.45,20,SWAP,2,data/series_1/SWAP/summary_2.csv,solotarev,0.01,,False,0.01
sparse5,0.0019,5,10,0,26.5625,51.7344,5,5,27228.6316,10,SWAP,2,data/series_1/SWAP/summary_2.csv,sparse5,0.0019,,False,0.0019
speer,13.8118,6,117,2167,52.6238,57.8047,4,6,4.1852,2284,SWAP,2,data/series_1/SWAP/summary_2.csv,speer,13.8118,,False,13.8118
tangents,1.7862,6,226,139,37.4284,55.2617,6,6,30.9381,365,SWAP,2,data/series_1/SWAP/summary_2.csv,tangents,1.7862,,False,1.7862
test,0.0073,3,1,4,26.9707,51.8438,4,3,7101.8904,5,SWAP,2,data/series_1/SWAP/summary_2.csv,test,0.0073,,False,0.0073
uteshev_bikker,0.5931,4,36,62,27.9805,54.5625,4,4,91.9954,98,SWAP,2,data/series_1/SWAP/summary_2.csv,uteshev_bikker,0.5931,,False,0.5931
vermeer,1.0963,5,54,212,36.2995,53.9688,4,5,49.2281,266,SWAP,2,data/series_1/SWAP/summary_2.csv,vermeer,1.0963,,False,1.0963
assur44,448.1406,8,1933,3552,145.3287,193.9805,8,8,0.4329,5485,SWAP,4,data/series_1/SWAP/summary_4.csv,assur44,448.1406,,False,448.1406
benchmark_D1,78.2685,12,2279,2003,80.1376,102.8828,12,12,1.3145,4282,SWAP,4,data/series_1/SWAP/summary_4.csv,benchmark_d1,78.2685,,False,78.2685
benchmark_i1,408.4467,10,3518,3556,186.4006,232.1406,10,10,0.5683,7074,SWAP,4,data/series_1/SWAP/summary_4.csv,benchmark_i1,408.4467,,False,408.4467
boon,0.0986,6,108,29,0.3984,0.3984,6,6,4.0406,137,SWAP,4,data/series_1/SWAP/summary_4.csv,boon,0.0986,,False,0.0986
butcher,3.5895,7,199,393,40.6855,54.5352,7,7,15.193,592,SWAP,4,data/series_1/SWAP/summary_4.csv,butcher,3.5895,,False,3.5895
butcher8,26.8089,8,569,1330,59.5572,66.7383,8,8,2.4894,1899,SWAP,4,data/series_1/SWAP/summary_4.csv,butcher8,26.8089,,False,26.8089
camera1s,1.6306,6,177,96,27.8301,54.9141,6,6,33.6772,273,SWAP,4,data/series_1/SWAP/summary_4.csv,camera1s,1.6306,,False,1.6306
caprasse,0.1531,4,65,188,0.1914,0.1914,4,4,1.2502,253,SWAP,4,data/series_1/SWAP/summary_4.csv,caprasse,0.1531,,False,0.1531
cassou,2.9425,5,39,154,39.2982,61.3008,4,5,20.8329,193,SWAP,4,data/series_1/SWAP/summary_4.csv,cassou,2.9425,,False,2.9425
chandra4,0.034,4,19,7,1.0273,1.0273,4,4,30.2147,26,SWAP,4,data/series_1/SWAP/summary_4.csv,chandra4,0.034,,False,0.034
chandra5,0.1351,5,59,48,0.1992,0.1992,5,5,1.4745,107,SWAP,4,data/series_1/SWAP/summary_4.csv,chandra5,0.1351,,False,0.1351
chandra6,0.7519,6,188,262,0.0996,0.1992,6,6,0.2649,450,SWAP,4,data/series_1/SWAP/summary_4.csv,chandra6,0.7519,,False,0.7519
chemequ,0.5872,5,81,60,0.2031,0.2031,5,5,0.3459,141,SWAP,4,data/series_1/SWAP/summary_4.csv,chemequ,0.5872,,False,0.5872
chemequs,1.5317,5,95,79,29.1094,57.8164,5,5,37.7466,174,SWAP,4,data/series_1/SWAP/summary_4.csv,chemequs,1.5317,,False,1.5317
chemkin,825.0066,11,2210,3914,197.7055,324.6602,11,11,0.3935,6124,SWAP,4,data/series_1/SWAP/summary_4.csv,chemkin,825.0066,,False,825.0066
cohn2,3.8864,4,0,417,42.6172,57.9609,4,4,14.9138,417,SWAP,4,data/series_1/SWAP/summary_4.csv,cohn2,3.8864,,False,3.8864
cohn3,3714.8349,4,79,7341,507.8188,567.3125,4,4,0.1527,7420,SWAP,4,data/series_1/SWAP/summary_4.csv,cohn3,3714.8349,,False,3714.8349
comb3000,0.1286,10,151,19,0.2031,0.2031,10,10,1.5793,170,SWAP,4,data/series_1/SWAP/summary_4.csv,comb3000,0.1286,,False,0.1286
comb3000s,0.1519,10,151,20,0.3125,0.3125,10,10,2.0573,171,SWAP,4,data/series_1/SWAP/summary_4.csv,comb3000s,0.1519,,False,0.1519
conform1,0.0273,3,9,30,0.1992,0.1992,3,3,7.2967,39,SWAP,4,data/series_1/SWAP/summary_4.csv,conform1,0.0273,,False,0.0273
cpdm5,56.922,5,348,2586,62.0093,64.6016,5,5,1.1349,2934,SWAP,4,data/series_1/SWAP/summary_4.csv,cpdm5,56.922,,False,56.922
cyclic5,0.3107,5,98,350,0.1992,0.1992,5,5,0.6411,448,SWAP,4,data/series_1/SWAP/summary_4.csv,cyclic5,0.3107,,False,0.3107
cyclic6,18.1816,6,564,3891,55.5917,63.3516,6,6,3.4844,4455,SWAP,4,data/series_1/SWAP/summary_4.csv,cyclic6,18.1816,,False,18.1816
d1,80.5868,12,2279,1994,84.8789,106.082,12,12,1.3164,4273,SWAP,4,data/series_1/SWAP/summary_4.csv,d1,80.5868,,False,80.5868
des18_3,5.2207,8,275,375,44.3062,56.1133,8,8,10.7482,650,SWAP,4,data/series_1/SWAP/summary_4.csv,des18_3,5.2207,,False,5.2207
des22_24,6.0525,10,501,370,47.1022,59.3164,10,10,9.8003,871,SWAP,4,data/series_1/SWAP/summary_4.csv,des22_24,6.0525,,False,6.0525
dessin1,5.1486,8,275,377,44.3844,56.3086,8,8,10.9367,652,SWAP,4,data/series_1/SWAP/summary_4.csv,dessin1,5.1486,,False,5.1486
dessin2,9.2279,10,558,333,50.2432,60.7305,10,10,6.5812,891,SWAP,4,data/series_1/SWAP/summary_4.csv,dessin2,9.2279,,False,9.2279
eco7,2.1335,7,261,217,35.8789,53.8203,7,7,25.2263,478,SWAP,4,data/series_1/SWAP/summary_4.csv,eco7,2.1335,,False,2.1335
eco8,20.8292,8,789,959,54.8079,59.4414,8,8,2.8538,1748,SWAP,4,data/series_1/SWAP/summary_4.csv,eco8,20.8292,,False,20.8292
eco9,251.4504,9,2206,3571,70.6546,72.8945,9,9,0.2899,5777,SWAP,4,data/series_1/SWAP/summary_4.csv,eco9,251.4504,,False,251.4504
extcyc4,0.4556,5,137,460,0.4062,0.4062,5,5,0.8916,597,SWAP,4,data/series_1/SWAP/summary_4.csv,extcyc4,0.4556,,False,0.4556
extcyc5,91.9136,6,738,9167,71.5584,86.8164,6,6,0.9445,9905,SWAP,4,data/series_1/SWAP/summary_4.csv,extcyc5,91.9136,,False,91.9136
f633,1.2836,10,318,627,26.3027,52.4023,9,10,40.8245,945,SWAP,4,data/series_1/SWAP/summary_4.csv,f633,1.2836,,False,1.2836
f744,300.4576,12,3574,4121,99.02,114.0078,12,12,0.3794,7695,SWAP,4,data/series_1/SWAP/summary_4.csv,f744,300.4576,,False,300.4576
fabrice24,182.2342,9,1225,1051,110.3032,129.6641,9,9,0.7115,2276,SWAP,4,data/series_1/SWAP/summary_4.csv,fabrice24,182.2342,,False,182.2342
filter9,253.0309,9,6284,17292,85.4673,102.6836,9,9,0.4058,23576,SWAP,4,data/series_1/SWAP/summary_4.csv,filter9,253.0309,,False,253.0309
geneig,0.7047,6,94,51,0.2031,0.2031,6,6,0.2882,145,SWAP,4,data/series_1/SWAP/summary_4.csv,geneig,0.7047,,False,0.7047
hairer1,0.0391,8,42,24,0.207,0.207,6,8,5.2941,66,SWAP,4,data/series_1/SWAP/summary_4.csv,hairer1,0.0391,,False,0.0391
hcyclic5,0.1884,6,89,542,0.2656,0.2656,5,6,1.4098,631,SWAP,4,data/series_1/SWAP/summary_4.csv,hcyclic5,0.1884,,False,0.1884
hcyclic6,6.5599,7,273,4129,46.304,56.1523,6,7,8.5599,4402,SWAP,4,data/series_1/SWAP/summary_4.csv,hcyclic6,6.5599,,False,6.5599
heart,0.0835,8,75,3,0.1992,0.1992,8,8,2.3856,78,SWAP,4,data/series_1/SWAP/summary_4.csv,heart,0.0835,,False,0.0835
hemmecke,0.0552,4,11,14,0.5508,0.5508,3,4,9.9783,25,SWAP,4,data/series_1/SWAP/summary_4.csv,hemmecke,0.0552,,False,0.0552
hf744,232.95,13,1906,18083,76.491,82.0156,12,13,0.3521,19989,SWAP,4,data/series_1/SWAP/summary_4.csv,hf744,232.95,,False,232.95
hietarinta1,276.8436,10,6214,5858,109.2139,128.9219,62,10,0.4657,12072,SWAP,4,data/series_1/SWAP/summary_4.csv,hietarinta1,276.8436,,False,276.8436
hunecke,0.0064,5,1,15,27.7695,51.8438,8,5,8100.5938,16,SWAP,4,data/series_1/SWAP/summary_4.csv,hunecke,0.0064,,False,0.0064
i1,346.0645,12,3516,3515,171.023,214.6328,10,12,0.6202,7031,SWAP,4,data/series_1/SWAP/summary_4.csv,i1,346.0645,,False,346.0645
issac97,0.1793,4,25,15,27.7207,53.7031,4,4,299.5153,40,SWAP,4,data/series_1/SWAP/summary_4.csv,issac97,0.1793,,False,0.1793
jcf26,384.9761,34,3689,1037,158.9669,200.0781,34,34,0.5197,4726,SWAP,4,data/series_1/SWAP/summary_4.csv,jcf26,384.9761,,False,384.9761
katsura6,8.7201,7,280,429,50.0326,56.3438,7,7,6.4614,709,SWAP,4,data/series_1/SWAP/summary_4.csv,katsura6,8.7201,,False,8.7201
katsura7,75.4499,8,719,1755,63.8821,66.6289,8,8,0.8831,2474,SWAP,4,data/series_1/SWAP/summary_4.csv,katsura7,75.4499,,False,75.4499
katsura8,730.7477,9,2237,7425,100.1344,107.2109,9,9,0.1467,9662,SWAP,4,data/series_1/SWAP/summary_4.csv,katsura8,730.7477,,False,730.7477
kin1,69.2075,12,2022,1808,78.6396,97.2695,12,12,1.4055,3830,SWAP,4,data/series_1/SWAP/summary_4.csv,kin1,69.2075,,False,69.2075
kinema,7.4883,9,377,325,49.5869,56.8789,9,9,7.5957,702,SWAP,4,data/series_1/SWAP/summary_4.csv,kinema,7.4883,,False,7.4883
kotsireas,539.6406,7,747,2969,275.7465,340.2031,6,7,0.6304,3716,SWAP,4,data/series_1/SWAP/summary_4.csv,kotsireas,539.6406,,False,539.6406
ku10,0.1447,10,795,123,27.2129,52.6758,10,10,364.0346,918,SWAP,4,data/series_1/SWAP/summary_4.csv,ku10,0.1447,,False,0.1447
